Job Title,Hourly/Fixed,Budget,Level,Skills
Seeking Master web designer for telehealth / telemedicine clinic services,Fixed price,"Est. budget:
$2,000.00",Expert,"Web Development, Yoast SEO, User Flow, Search Engine Optimization, Website Redesign, +5"
IP Detection Wordpress,Fixed price,"Est. budget:
$100.00",Entry Level,WordPress
UI Designer Needed for Engaging User Interfaces,Hourly: $25.00 - $45.00,N/A,Expert,"Figma, UX & UI, UI/UX Prototyping, Web Design, Interaction Design, UX & UI Design, UX Wireframe, +3"
Web Portal Developer Needed for Timely Project Delivery,Hourly,N/A,Intermediate,"Web Development, PHP, JavaScript, WordPress, HTML"
Apple Pay Payment Processing Certificate Generation and Domain Verification,Fixed price,"Est. budget:
$50.00",Intermediate,"NestJS, Apple Pay JS"
Oracle Fusion-Zatcka Integration for AR Invoices,Hourly: $10.00 - $15.00,N/A,Expert,"Database Development, SQL, Oracle Fusion Applications"
Python scrapping,Hourly,N/A,Expert,
Website App Design for Language Study,Hourly: $15.00 - $35.00,N/A,Intermediate,"Web Development, Web Design, Graphic Design, Mobile App Design, Mockup"
Senior React Developer Needed for Exciting Project,Hourly: $25.00 - $40.00,N/A,Expert,"Next.js, React, JavaScript, CSS, HTML, Node.js"
Remote Position as MERN Stack Back End Tutor,Hourly: $5.00 - $5.00,N/A,Intermediate,"MongoDB, React Native, API, React"
Urgent Need Android App Developer (Kotlin),Fixed price,"Est. budget:
$100.00",Entry Level,"Android App Development, Mobile App Development, Android, Kotlin, Java"
Opencart Website Modification Specialist Needed,Hourly,N/A,Intermediate,"Web Development, OpenCart, PHP, Web Design, HTML"
Front End Developer Needed for Website with OAuth and Payment Integration,Hourly: $15.00 - $20.00,N/A,Expert,"Web Development, App Development, TypeScript, API, HTML, CSS, HTML5, API Integration, React"
Experienced WordPress Needed to Build a Food Blog,Fixed price,"Est. budget:
$50.00",Expert,"WordPress, Web Design, Graphic Design, Search Engine Optimization"
Create a Custom Contact Form on WordPress,Hourly: $14.00 - $28.00,N/A,Intermediate,"Web Development, WordPress, PHP, CSS, HTML"
Migración Portal Inmobiliario Wordpress a Next.js/Nestjs. Desarrollo App Móvil (React Native/Flutter,Fixed price,"Est. budget:
$350.00",Intermediate,"Mobile App Development, Web Application, SQL, Java, Vue.js, JavaScript, Android, iOS, Node.js, PHP"
Customizare tema Wordpress,Fixed price,"Est. budget:
$210.00",Intermediate,"Web Development, Elementor, WordPress, Web Design"
Expert AI Developer Needed for SaaS & Marketplace Solutions,Hourly,N/A,Expert,"JavaScript, API, Amazon Web Services, SaaS, PHP"
Dynamic Exam PDF Generation Using Formidable Forms Add-On,Fixed price,"Est. budget:
$70.00",Intermediate,"WordPress, PHP"
Website Update: Add WhatsApp Integration and New Pages,Hourly: $15.00 - $30.00,N/A,Intermediate,"Web Development, WordPress, PHP, Web Design, HTML"
Oracle Hospitality Expert Needed for System Optimization,Hourly: $25.00 - $30.00,N/A,Expert,API Integration
We need someone to fix a button to subscribe and save 10% in our funnelish checkout page,Fixed price,"Est. budget:
$200.00",Expert,"JavaScript, HTML, CSS 3, SCSS, CSS, Query Debugging, Software Debugging, API"
"OpenAI chatbot for support and general questions, based on a wordpress plugin.",Fixed price,"Est. budget:
$500.00",Expert,"Chatbot Development, WordPress, API, OpenAI API"
WordPress Divi Theme Builder Expert Needed for Website Upgrade,Fixed price,"Est. budget:
$100.00",Expert,"Web Development, WordPress, Web Design, CSS, PHP"
Website Reconstruction Expert Needed,Fixed price,"Est. budget:
$20.00",Intermediate,"Web Development, WordPress, Web Design, JavaScript, HTML"
NextJS | TailwindCSS | Prisma,Hourly: $10.00 - $25.00,N/A,Intermediate,"Vercel, Tailwind CSS, React, JavaScript"
Telegram bot,Hourly,N/A,Intermediate,"API, WordPress Plugin, Python, JavaScript, PHP, MySQL, jQuery, CodeIgniter, Swift, Yii2, +4"
Hybrid App Developer for Booking Management with Payment Integration,Hourly: $15.00 - $20.00,N/A,Intermediate,"Mobile App Development, User Authentication, Android, Payment Functionality, iOS"
Webflow Developer for UI/UX Updates and Session Management,Fixed price,"Est. budget:
$100.00",Intermediate,"Web Development, Web Design, CSS, Responsive Design, JavaScript"
Web Designer needed for Website CMS Setup,Hourly: $25.00 - $50.00,N/A,Intermediate,"Style Guide, Website, All in One SEO, WordPress, Web Design, HTML, CSS"
Installing Wildcard SSL and Pushing Update,Fixed price,"Est. budget:
$300.00",Intermediate,"Web Development, App Development, SSL"
Integrate AfterPay Payment Option in Kajabi Checkout,Fixed price,"Est. budget:
$31.00",Intermediate,"Web Development, Ecommerce Website Development, Payment Gateway Integration, Stripe, Kajabi"
Godot Developer Needed for Arcade Game Development,Fixed price,"Est. budget:
$500.00",Intermediate,"Game Development, Game Design, Smartphone, Mobile Game"
Discord bot developer needed,Fixed price,"Est. budget:
$50.00",Entry Level,"Bot Development, API Integration, Python, JavaScript, API"
Full-Stack Developer Needed (MEAN/MERN Stack),Hourly: $25.00 - $35.00,N/A,Expert,"Node.js, MongoDB, ExpressJS, React, JavaScript"
WordPress Website Update Specialist Needed - To start now,Hourly: $15.00 - $30.00,N/A,Intermediate,"Web Development, WordPress, Web Design, PHP, HTML"
WordPress developer,Fixed price,"Est. budget:
$10.00",Intermediate,"Web Development, WordPress, PHP, HTML, Website, WordPress Plugin, Web Design, Blog"
Web App Developer Needed to Build MVP for Dashboard Platform,Fixed price,"Est. budget:
$2,000.00",Expert,"Web Development, JavaScript, Web Application, React, API Integration, Web Design, Node.js"
React Native SDK Integration for iOS & Android,Fixed price,"Est. budget:
$20.00",Intermediate,"Mobile App Development, Android, iOS, React Native, Smartphone"
Web Development for Office Furniture Business Website,Hourly,N/A,Intermediate,"Web Development, WordPress, Web Design, Wix, Graphic Design"
E-commerce (shopify) Payment Gateway Set-Up.,Fixed price,"Est. budget:
$10.00",Expert,"Ecommerce Website Development, Web Development, Shopify, WooCommerce, Magento, Shopify Templates, +4"
React Native Developer Needed to Complete Mobile Application,Hourly: $30.00 - $40.00,N/A,Expert,"Mobile App Development, iOS Development, Android App Development, React Native, Android, iOS, Smartphone"
Build an Instant Chat Messenger Website for Expert Consultations,Hourly: $15.00 - $35.00,N/A,Intermediate,"Web Development, JavaScript, PHP, WordPress, HTML5"
Secure User Credentials in Native Java Android App,Fixed price,"Est. budget:
$100.00",Intermediate,"Android App Development, Mobile App Development, Java, Android, Smartphone"
Managements Aspects Website Platform,Hourly: $25.00 - $100.00,N/A,Expert,"Ecommerce Website Development, Web Development, HTML, User Flow, JavaScript, MySQL, Website, +3"
PHP Developer for Facebook Ads Library Scraping,Hourly: $15.00 - $35.00,N/A,Intermediate,"PHP, JavaScript, API, Data Scraping, Python"
Experienced .NET Developer for Payment Gateway Integration,Hourly: $15.00 - $35.00,N/A,Intermediate,"API, API Integration, .NET Framework, ASP.NET, C#"
Shopify store EU VAT setting in Checkout,Fixed price,"Est. budget:
$150.00",Expert,"Ecommerce Website Development, Shopify, Accounting"
Quick WordPress Task - Simple Website Update,Fixed price,"Est. budget:
$5.00",Intermediate,"Web Development, WordPress, Web Design, PHP, HTML"
Design Support for Solar Panel Warranty Marketing Site,Hourly: $15.00 - $50.00,N/A,Intermediate,"Web Development, Web Design, WordPress, Graphic Design, Search Engine Optimization"
Stripe developper,Fixed price,"Est. budget:
$50.00",Expert,"Stripe, API, Payment Gateway Integration"
Web Designer to re-design an existing website,Fixed price,"Est. budget:
$50.00",Expert,"Web Development, Web Design, WordPress, Graphic Design, User Flow, Mockup, Visual Communication, +3"
SQLite Database Organization Specialist,Hourly,N/A,Intermediate,"SQLite, SQL, Database Design, Database Management, Microsoft SQL Server"
Shopify Website Designer/Builder Needed,Fixed price,"Est. budget:
$1,500.00",Intermediate,"Web Development, Shopify, Web Design, Graphic Design, Shopify Templates"
Website Development - business development Agency - 1-2 Pages,Hourly: $15.00 - $30.00,N/A,Expert,"Web Development, WordPress, Web Design, Lead Generation"
Web Development for Seafood Ordering Platform for Chefs,Fixed price,"Est. budget:
$500.00",Intermediate,"Web Development, App Development, Web Design, PHP, JavaScript, HTML, API Integration"
Developer needed to create Android / iPhone App,Hourly: $20.00 - $40.00,N/A,Expert,"Mobile App Development, iOS Development, Web Development, iOS, Android, Smartphone"
Shopify Developer Required - Create Store From Figma Design,Hourly,N/A,Intermediate,"Shopify Development, Shopify, Shopify Templates, Liquid, Shopify Plus, Shopify Theme, Shopify Apps, +1"
Web Developer Needed for Tech Company Official Website,Fixed price,"Est. budget:
$200.00",Intermediate,"Web Development, WordPress, Web Design, HTML, CSS"
Frontend Developer Needed for edit Customized website,Fixed price,"Est. budget:
$5.00",Intermediate,"Web Development, Tailwind CSS, HTML, CSS, JavaScript, React, CSS 3"
"Laravel Developer Needed: Google Tag Manager, GA4 & Mixpanel Integration for AI SaaS Platform",Hourly,N/A,Intermediate,"Web Development, Laravel, Database, JavaScript"
Java Developer with Kafka and Azure,Fixed price,"Est. budget:
$1,200.00",Expert,"Java, Apache Kafka, Spring Framework, Microsoft Azure, Microservice"
Independent Code Architecture Consultant,Hourly,N/A,Expert,"Web Development, Software Architecture & Design, Architectural Design, Node.js, Java, PHP"
Shopify Developer for Prescription Eyewear Store,Fixed price,"Est. budget:
$50.00",Intermediate,"Web Development, Ecommerce Website Development, Shopify, Shopify Templates, Web Design"
Create Minimal Invoice Generator,Hourly,N/A,Intermediate,"API Development, Web Development, C#, Node.js, .NET Framework, Angular, React, PHP, +4"
Shopify Lead,Fixed price,"Est. budget:
$1,500.00",Expert,"Web Development, Shopify, Communications"
WordPress Website Customization,Fixed price,"Est. budget:
$200.00",Intermediate,"WordPress Development, Web Development, WordPress, Web Design, Website Customization"
"Part-Time Cloud Architect - GCP, Terraform, Pulumi, Snowflake",Hourly: $20.00 - $25.00,N/A,Intermediate,"Cloud Architecture, Docker, DevOps, Google Cloud Platform, CI/CD, Snowflake, SQL"
Energy Data Exchange Platform Setup,Hourly,N/A,Expert,"Energy & Utilities, Amazon Web Services, Database, API, AWS Lambda, Spanish, English, +5"
Wordpress Breakdance expert,Fixed price,"Est. budget:
$10.00",Expert,"WordPress, PHP, Web Design"
"Website Data Migration, Content Rewriting, and Optimization for Real Estate Site",Hourly: $12.00 - $36.00,N/A,Intermediate,"WordPress, PHP, Website Content"
Frontend/Backend Developer Partnership Opportunity,Fixed price,"Est. budget:
$5.00",Intermediate,"JavaScript, React, HTML, CSS, Node.js"
WordPress Customization & Plugin Development,Hourly,N/A,Intermediate,"Plugin Development, WordPress, PHP, WordPress Plugin, JavaScript"
Data Engineer,Fixed price,"Est. budget:
$50.00",Intermediate,"API Development, Data Engineering, ETL Pipeline, Python, API, Amazon Web Services"
Mobile Application Development for Health App (iOS & Android),Fixed price,"Est. budget:
$3,500.00",Intermediate,"Smartphone, Android, iOS, User Profile Creation, User Authentication"
Need A Web Developer For An Event Management Website,Fixed price,"Est. budget:
$70.00",Intermediate,"Full-Stack Development, Web Development, React, Django, PHP, Laravel, API Integration, +3"
Help on Replit,Hourly: $15.00 - $50.00,N/A,Intermediate,"App Development, React, Node.js, Replit, Artificial Intelligence, ExpressJS"
Build a Shopify product page,Fixed price,"Est. budget:
$60.00",Expert,"Web Development, Shopify, Shopify Theme"
Flutterflow AI App,Fixed price,"Est. budget:
$300.00",Expert,"Mobile App Development, Artificial Intelligence, Android, iOS"
Simple call to WOT and google safe browse API,Fixed price,"Est. budget:
$200.00",Intermediate,"API Integration, PHP, JavaScript, API"
LinkedIn Bot Detection Professional - Avoid flying Cookies,Hourly: $25.00 - $47.00,N/A,Expert,"LinkedIn Development, LinkedIn Plugin, Automation, Selenium"
Frontend Developer & UX Designer for Passion Project Website,Hourly: $15.00 - $35.00,N/A,Intermediate,"Web Development, Web Design, HTML, CSS, WordPress"
N8N Matched Betting AI Workflow,Fixed price,"Est. budget:
$200.00",Intermediate,"n8n, Python, API, Artificial Intelligence, Automation, Data Analysis, OpenAI API"
Build a Progressive Web App (PWA) for Personalized Meal and Exercise Planning,Fixed price,"Est. budget:
$500.00",Intermediate,"AI App Development, API Development, Database Development, Full-Stack Development, Android, iOS, +4"
[GCP-699]Java Spring Boot - Real-time Scenario-based question,Fixed price,"Est. budget:
$80.00",Expert,"Java, Spring Boot"
Conversion Tracking Setup with Google Tag Manager for Webflow & Booking Platform,Hourly,N/A,Intermediate,"Web Development, Google Analytics, Google Tag Manager, JavaScript, Google Ads"
Front-end Flutter,Hourly: $10.00 - $10.00,N/A,Expert,"Flutter, Dart, Firebase, Android, Business with 1-9 Employees"
Website Technology Stack Consultation (with best RUM),Fixed price,"Est. budget:
$200.00",Expert,"Web Development, JavaScript, Web Design, WordPress, API"
Seeking Skilled Developers for Franchise Marketplace Project,Hourly,N/A,Intermediate,"Mobile App Development, iOS Development, App Development, AI App Development, React Native, Flutter, +9"
Need Developers with Existing SaaS Code or Ability to Redevelop Similar Tools – AI & Marketing Focus,Fixed price,"Est. budget:
$5,000.00",Expert,"AI Agent Development, SaaS Development, SaaS, AI Model Integration, Node.js, React, Machine Learning"
Website Specialist Needed for Digital Marketing Agency,Hourly,N/A,Intermediate,"Web Development, WordPress, Web Design, Graphic Design, HTML"
Develop a Progressive Web App with Google Drive Integration and Role-Based Access Control,Hourly: $15.00 - $50.00,N/A,Expert,"Node.js, Firebase, Progressive Web App, Responsive Design"
Laravel User Roles Dashboard,Fixed price,"Est. budget:
$70.00",Intermediate,"Web Application, Laravel, MySQL, JavaScript, PHP, API"
"Website Development for HVAC, Electrical, and Building Management Services",Fixed price,"Est. budget:
$500.00",Expert,"Web Development, WordPress, Content Writing, Lead Generation, Data Entry, Search Engine Optimization"
Website and App development help required,Hourly: $15.00 - $35.00,N/A,Intermediate,"Web Development, App Development, MySQL, Graphic Design, iOS, Android, Web Design, CSS, +1"
MVP Development for App Similar to Whatnot,Hourly: $15.00 - $30.00,N/A,Intermediate,"Mobile App Development, iOS, User Profile Creation, Smartphone, Android"
Fullstack role,Hourly,N/A,Intermediate,"PHP, JavaScript, API, CSS, HTML, WordPress, TypeScript, Laravel, Vue.js, Node.js, +5"
Meta SDK integration in a React Native App,Hourly,N/A,Expert,"Mobile App Development, iOS Development, Android App Development, React Native, Android, iOS, +3"
Public Cloud (SD/MM) Professionals – Talent Pool for Future Projects,Hourly: $15.00 - $35.00,N/A,Intermediate,"AngularJS, SAP Materials Management, Electrical Engineering, Graphic Design, JavaScript, Python, PHP, +1"
Website home page design and few inner pages,Hourly: $10.00 - $20.00,N/A,Intermediate,"Web Development, Web Design, Wireframing, Adobe Photoshop, Mockup, HTML, WordPress, Landing Page"
